>        Total_score          EM2D_score           DSS_XL_score         EDC_XL_score             PDB_file            RMF_file 
>        259.165372601        36.4725813276        82.6191433295        75.9369672596             31.0.pdb            31.0.rmf3
>        259.527487409        34.1490807786        83.0871333551        75.1256238077             36.0.pdb            36.0.rmf3
>        260.843090489        41.1281130675        87.2495474492         71.614088189             47.0.pdb            47.0.rmf3
>        261.514171624        33.7994253377        82.1586035816        77.3300971464             54.0.pdb            54.0.rmf3
>        261.806186977        36.6059606748        81.3097844562        77.2802876967             58.0.pdb            58.0.rmf3
>        261.943281395        35.5859944955        96.9288704494        66.9279659626             60.0.pdb            60.0.rmf3
>        261.995492636        36.6133743653        80.8228682027        82.6306820455             62.0.pdb            62.0.rmf3
>        262.035664745        43.8408298758        87.2615154197        68.3720326961             63.0.pdb            63.0.rmf3
>        262.361980342        31.9111824939        87.1623530496        80.4565584901             69.0.pdb            69.0.rmf3
>        262.514330342        33.3119807833        90.5649876644        73.4555573444             72.0.pdb            72.0.rmf3
>         262.91304498        36.3775853625        89.8709653288        73.7862306846             77.0.pdb            77.0.rmf3
>         263.03244906        34.3874845052        100.226157886        67.2177788178             79.0.pdb            79.0.rmf3
>        263.970832043        33.8225072087        90.4225093567        77.7229841975             94.0.pdb            94.0.rmf3
>        264.149729567        29.5881408889        81.4607562497        87.1477785466             96.0.pdb            96.0.rmf3
>        264.583947223        43.3543054737        84.4522723817        71.7815618293            109.0.pdb           109.0.rmf3
>        264.687344884        44.3829664531        90.0354228373        65.5023886429            112.0.pdb           112.0.rmf3
>        265.086395158        27.5473491662        95.0219384848        75.2295637153            119.0.pdb           119.0.rmf3
>         265.21718241        29.4590597958        93.3657902202        76.7781794069            122.0.pdb           122.0.rmf3
>        265.391695475        27.6904545796         94.517598046        78.2751508411            127.0.pdb           127.0.rmf3
>         265.40356808        45.8339182044        78.0143817322         70.782180848            128.0.pdb           128.0.rmf3
>        265.600461516        29.6130511822        95.3970739911        71.6865045511            132.0.pdb           132.0.rmf3
>         265.72541295        33.8450316156        87.9228575494        78.0016183765            136.0.pdb           136.0.rmf3
>        265.767138439        48.7449460813        78.7805254284        72.9694785858            137.0.pdb           137.0.rmf3
>        265.798587086        45.8095193242        87.0215075698        68.8579491755            138.0.pdb           138.0.rmf3
>        265.998019796        44.3247625544        83.6148474882         69.627083367            143.0.pdb           143.0.rmf3
>        266.619281717         51.125088245        71.8616823605        79.0268953828            159.0.pdb           159.0.rmf3
>        266.736316225        43.8584016935        81.4794682649        72.9794688409            162.0.pdb           162.0.rmf3
>        266.888119538        36.0686688702        89.3166206225         76.759516933            167.0.pdb           167.0.rmf3
>        266.926823456         39.539760228        87.1159385796        73.3097883587            168.0.pdb           168.0.rmf3
>         267.21597697        46.5324353621        91.0229698535        66.3974935849            179.0.pdb           179.0.rmf3
>        267.325396029        32.3041365597        92.7826589417         78.017817727            181.0.pdb           181.0.rmf3
>        267.659234027        30.6066095284        92.8608967404        76.6281317815            192.0.pdb           192.0.rmf3
>        267.677073235        36.8498104695        85.5352001843        81.5155866849            193.0.pdb           193.0.rmf3
>        267.704370983        33.6670648849        87.5506947425        76.7092503621            194.0.pdb           194.0.rmf3
>        267.839717045        44.3219395437        83.0949877632        73.6927468986            200.0.pdb           200.0.rmf3
>        267.881413166        42.7315128817        79.2284089731        72.3202735998            203.0.pdb           203.0.rmf3
>        267.928132735        48.8091730595        90.7940496881        66.1694258924            207.0.pdb           207.0.rmf3
>        268.025621252         27.231214621        100.956409807        74.8216778374            212.0.pdb           212.0.rmf3
>        268.049579624           38.2765611        90.8877322729        76.7557411431            217.0.pdb           217.0.rmf3
>        268.100193063        34.5843402917        95.7877473102        76.2726239226            220.0.pdb           220.0.rmf3
>        268.337857463         27.813194992        93.6492470798        81.6092781904            231.0.pdb           231.0.rmf3
>        268.404362779          36.81659065        100.298484188        68.4363310415            235.0.pdb           235.0.rmf3
>        268.419490422        44.8874226303        80.6243304788        72.3581706881            237.0.pdb           237.0.rmf3
>        268.615779866        33.6027845823        92.5486378697        76.0463118681            245.0.pdb           245.0.rmf3
>        268.667236501        33.2920134461        95.2485350832        75.3249923026            248.0.pdb           248.0.rmf3
>        268.736592083        29.1007534828        95.2658088127        81.1296004875            249.0.pdb           249.0.rmf3
>        268.777548698         43.196604474        90.1324846307        69.4338804571            251.0.pdb           251.0.rmf3
>        268.876146213        31.1262406931         88.149233814        81.0285523528            254.0.pdb           254.0.rmf3
>        268.935523843        25.0116556191        86.4220811601        87.7916738916            257.0.pdb           257.0.rmf3
>        269.081258713        42.4353348962        82.6362804607        78.1295944054            261.0.pdb           261.0.rmf3
>        269.168648109        34.6261747516        93.3305616586        75.7246225499            266.0.pdb           266.0.rmf3
>        269.173607598        34.9062236518        86.4320894007        78.9210549921            267.0.pdb           267.0.rmf3
>        269.220164728        44.8552097158        93.6263455374        70.5629464139            272.0.pdb           272.0.rmf3
>        269.229815881        29.6942018664        95.8081519839         78.205328392            273.0.pdb           273.0.rmf3
>        269.250848831        38.4135509406         94.339759784        75.4750343468            274.0.pdb           274.0.rmf3
>        269.297777163        35.7229705288        90.5347856388        77.3488675461            278.0.pdb           278.0.rmf3
>        269.349815222        43.0465040439        85.3984195897        72.7739105038            282.0.pdb           282.0.rmf3
>        269.356445137        27.8331406937        97.4286992006        78.5676059039            283.0.pdb           283.0.rmf3
>        269.383977939        37.8219168544        85.4043990823        77.9890626863            285.0.pdb           285.0.rmf3
>        269.390699525         37.567044406        95.1305375038        69.8513742822            286.0.pdb           286.0.rmf3
>        269.430325765        38.5525831802        99.0892225957        68.2186997767            289.0.pdb           289.0.rmf3
>        269.607604828        32.0556697847        96.5572804656        74.1908292859            294.0.pdb           294.0.rmf3
>         269.78788381        53.4414671586        85.5319048737        67.5160032533            303.0.pdb           303.0.rmf3
>        269.794358534        35.1708296532         90.619388573        76.6586755429            304.0.pdb           304.0.rmf3
>        269.796392754        40.2768350528        86.5338449901        79.9001502663            305.0.pdb           305.0.rmf3
>        269.829010547        29.3081295303        82.4853135276         87.763036044            306.0.pdb           306.0.rmf3
>        269.858846277        43.5361672013        85.7023540057        71.5113056309            308.0.pdb           308.0.rmf3
>        269.892618165        35.6316159547        89.8391345317        83.2347818092            310.0.pdb           310.0.rmf3
>        269.955700065        42.9862794833        79.7789247356        72.8399166416            319.0.pdb           319.0.rmf3
>        269.973920349        42.8772854494        79.4186635721        79.7847706423            321.0.pdb           321.0.rmf3
>        269.993392957        38.9865407095        87.8036624842         71.663341523            322.0.pdb           322.0.rmf3
>        270.086491393        44.7768615738        73.1997530022        85.6153490587            328.0.pdb           328.0.rmf3
>         270.09635556        41.4036664393        92.7215043177         70.180238725            329.0.pdb           329.0.rmf3
>        270.196413567        37.7805558377        89.7711061446        78.1963163759            334.0.pdb           334.0.rmf3
>        270.328301914        40.5507384631        85.2132250878        79.5346825549            344.0.pdb           344.0.rmf3
>        270.334475307        29.1320090076        96.3939792187        79.2881522184            345.0.pdb           345.0.rmf3
>        270.389270029        30.2919154957        97.7997976909        75.0265840522            351.0.pdb           351.0.rmf3
>        270.461691434        39.6559460825        83.8406097387        74.5451302234            358.0.pdb           358.0.rmf3
>        270.468756874        30.9072837979        94.5620675571        77.2888663066            359.0.pdb           359.0.rmf3
>        270.487209961         27.186601042        85.4558877967        86.4151267158            360.0.pdb           360.0.rmf3
>         270.49433907         34.152516785        91.6599351131        77.6912083743            361.0.pdb           361.0.rmf3
>        270.504611333        53.4493395952        80.0376416285        71.0551739655            363.0.pdb           363.0.rmf3
>        270.509178821         36.463248892        93.3843724787        74.1390143151            364.0.pdb           364.0.rmf3
>        270.518797874        27.3638844062        97.5514017087        79.2721647332            366.0.pdb           366.0.rmf3
>        270.584340282        27.5225890136        94.8877452771        77.7249980882            368.0.pdb           368.0.rmf3
>        270.625305371         38.429170493         89.711888993        74.0940932979            370.0.pdb           370.0.rmf3
>        270.664509233        48.9394020907        90.4704123116         65.268440935            372.0.pdb           372.0.rmf3
>        270.690816049        41.9984596856        86.0734950778         78.635647524            373.0.pdb           373.0.rmf3
>        270.691485104        41.4584718508        86.4342402772        74.1972374456            374.0.pdb           374.0.rmf3
>        270.746597589        37.7681713086         88.766787367        79.7763277975            378.0.pdb           378.0.rmf3
>        270.903239179        34.6356207113        91.2121063923        75.1445089574            384.0.pdb           384.0.rmf3
>        271.061330721        32.5808095233        88.5038898779        79.2783874152            394.0.pdb           394.0.rmf3
>        271.090439555        42.2615043282        81.8325895026        79.1056037016            396.0.pdb           396.0.rmf3
>        271.097598825        44.0219695055        83.5940781559        77.7143510946            397.0.pdb           397.0.rmf3
>        271.130090669        34.6116191684        92.2478168053         77.510256933            399.0.pdb           399.0.rmf3
>        271.149493287        35.7169473003        91.6254978271        77.2115460296            401.0.pdb           401.0.rmf3
>        271.161882491         40.758453126        86.5472430113        72.8387104468            402.0.pdb           402.0.rmf3
>        271.168599566        36.9776415638        97.9910381949        72.0192662131            403.0.pdb           403.0.rmf3
>        271.171438194        31.7658688264        88.8791878964        84.4704880665            404.0.pdb           404.0.rmf3
>        271.185706296        37.6627882261        97.7828544504        66.6098856905            406.0.pdb           406.0.rmf3
>        271.215005555        45.7563360629        81.7159915333        78.5348275219            409.0.pdb           409.0.rmf3
>         271.22355791        30.5933225368        86.5260959089        81.9129595138            410.0.pdb           410.0.rmf3
>        271.275125183         39.849026646        87.0691674175        75.9054808112            414.0.pdb           414.0.rmf3
>        271.283992618        36.2691448397        79.0011483421        78.3033758304            416.0.pdb           416.0.rmf3
>        271.357994827        36.7362342393        84.3671701673         80.043721743            421.0.pdb           421.0.rmf3
>        271.371148969        34.0892691572        99.7584552114        68.0876540243            422.0.pdb           422.0.rmf3
>        271.373232293        36.1161528391        97.7920895209         78.354692238            423.0.pdb           423.0.rmf3
>        271.388873842        42.1071595773        83.6338548179        77.5972397959            424.0.pdb           424.0.rmf3
>        271.508450214        41.3036194538        75.1242575024        90.2029557179            429.0.pdb           429.0.rmf3
>        271.550822421        44.9709384033        86.2257862477        72.4141667097            430.0.pdb           430.0.rmf3
>        271.573340122        35.8868846959        86.0019288877        84.1476195749            434.0.pdb           434.0.rmf3
>        271.644556782        47.0858961404        88.1150715699        68.3749722777            437.0.pdb           437.0.rmf3
>        271.673116771        43.8735047188        90.2808637189        70.2988978532            438.0.pdb           438.0.rmf3
>        271.760873927        40.4337390275        87.8618993577        77.9528339618            444.0.pdb           444.0.rmf3
>        271.813711277        34.4435206858        96.8231050444        73.8973969638            449.0.pdb           449.0.rmf3
>        271.840732119        27.3291943637        96.1439376333        79.7369447738            452.0.pdb           452.0.rmf3
>         271.88547384        36.1822095388        92.3304086849         76.041509203            454.0.pdb           454.0.rmf3
>        271.913060864         41.298192061        79.3897432683        80.2031738144            456.0.pdb           456.0.rmf3
>         271.92963129        39.9654255584         90.065453173        78.7440360359            457.0.pdb           457.0.rmf3
>        271.934623423        27.4640462505        97.9562522674        76.8580014893            458.0.pdb           458.0.rmf3
>        271.989193477        38.9366302888        88.6490449864        68.7234003558            462.0.pdb           462.0.rmf3
>        272.003507118        32.9189030856        95.6011863366        74.0443229221            464.0.pdb           464.0.rmf3
>        272.015718786        36.8871416884        95.4420224862        73.9303865547            467.0.pdb           467.0.rmf3
>        272.054754113        45.0461698851        77.4558371095        85.5362394276            471.0.pdb           471.0.rmf3
>        272.089436688         32.429348272        91.9876066391        77.2213773782            473.0.pdb           473.0.rmf3
>        272.101315457        41.3048694449        80.6964996446        87.8726027989            474.0.pdb           474.0.rmf3
>        272.113392932         33.119437642        100.471503882        70.2261517083            475.0.pdb           475.0.rmf3
>        272.116608571        33.8723742338        93.9313929139        75.1375185254            476.0.pdb           476.0.rmf3
>        272.118946834        33.8208034244         82.411300314        81.1186296295            477.0.pdb           477.0.rmf3
