>        Total_score          EM2D_score           DSS_XL_score         EDC_XL_score             PDB_file            RMF_file 
>        272.126173444        43.2396274095        85.7475199232        78.9768593697            478.0.pdb           478.0.rmf3
>        272.251164724        43.2086320469        78.7600942349        76.5984731274            486.0.pdb           486.0.rmf3
>        272.258902538        42.3758632921        82.8193780258        82.0659586392            487.0.pdb           487.0.rmf3
>        272.261374683         39.218727264        81.3850954709        82.6195672048            489.0.pdb           489.0.rmf3
>        272.300303992         26.892157508        99.7202555712        79.8757843519            491.0.pdb           491.0.rmf3
>        272.342318972        44.9283553056        89.6599771157        71.5068378354            495.0.pdb           495.0.rmf3
>        272.500844886        30.1779197997         97.817023818        73.6241600816            506.0.pdb           506.0.rmf3
>        272.502821413        54.1877300472         80.694574241        71.4475549078            507.0.pdb           507.0.rmf3
>        272.506680476        29.2927834235        94.1034289913        81.8191775017            508.0.pdb           508.0.rmf3
>        272.637338504        33.0152699274        90.4602596958        82.6297376856            514.0.pdb           514.0.rmf3
>        272.646557765        40.7115837852         88.990999567        76.6499622983            515.0.pdb           515.0.rmf3
>        272.653938244        30.6161295952        100.827164694        73.2162987989            517.0.pdb           517.0.rmf3
>        272.657497282        34.9391116173        96.6929302891        78.7408416544            518.0.pdb           518.0.rmf3
>        272.703341551        50.4767550748        69.1246126814        85.3594486933            522.0.pdb           522.0.rmf3
>        272.836150814        42.2407888021        84.8192913936        74.2707238397            531.0.pdb           531.0.rmf3
>        272.887360237        44.6932555127        81.7090736359        79.4771504014            535.0.pdb           535.0.rmf3
>         272.98371449        41.9696017925        90.5628338821        75.0657272198            540.0.pdb           540.0.rmf3
>        273.021070951        51.0298940687         88.476778136        71.6414205154            546.0.pdb           546.0.rmf3
>        273.157232599        41.2540888613        84.0630330471        76.3063088447            551.0.pdb           551.0.rmf3
>        273.276007872        37.0421970921        84.9565665871        82.6372740049            559.0.pdb           559.0.rmf3
>        273.282463669        35.3939105671        97.0080646309        71.2228638394            560.0.pdb           560.0.rmf3
>          273.2907061        38.3493817317        89.6733417942         74.984944743            565.0.pdb           565.0.rmf3
>        273.309001518        44.6777571172        95.1800104824        67.7134947284            570.0.pdb           570.0.rmf3
>        273.314219023        46.1203795472        80.1433689578        82.2579441029            571.0.pdb           571.0.rmf3
>        273.325149808        47.5439435626         79.209445581        76.3286198334            572.0.pdb           572.0.rmf3
>        273.347853464        39.0020290718        90.0335220698        74.3058698991            575.0.pdb           575.0.rmf3
>        273.422853582        36.8504214743        96.5985026532        74.3817923864            581.0.pdb           581.0.rmf3
>        273.550500283        48.8234829949        85.8989008113        73.3290609132            589.0.pdb           589.0.rmf3
>        273.599746075        31.6655237336        92.5125442815        81.9962187752            593.0.pdb           593.0.rmf3
>        273.639375105        37.7905108742        91.3601613009        81.3031491001            600.0.pdb           600.0.rmf3
>        273.651782508        42.1500758196        98.5514533204        63.8921160819            602.0.pdb           602.0.rmf3
>         273.70532444        45.5145928824        98.7421907084        66.1448790115            608.0.pdb           608.0.rmf3
>        273.713109898        33.1300207763        91.2742192999        78.3228232804            609.0.pdb           609.0.rmf3
>        273.718566136        29.7464940573        101.662209837        74.9434238455            611.0.pdb           611.0.rmf3
>        273.744513169         28.502896296        90.7617897229         83.480733051            615.0.pdb           615.0.rmf3
>        273.764625923        33.3037436222           98.1836558        72.5046869861            620.0.pdb           620.0.rmf3
>        273.779767027         40.606561398        82.3648995498        82.4728924227            622.0.pdb           622.0.rmf3
>         273.84318283        33.4715695189        87.1533780071        83.1272077316            624.0.pdb           624.0.rmf3
>        273.922406464        41.6052875129        82.8306728889        76.3600233965            632.0.pdb           632.0.rmf3
>        273.933761132        41.0656445511        91.2095237873         77.249089593            636.0.pdb           636.0.rmf3
>        273.938473161        27.0686418166        87.6271236382        89.3355855709            639.0.pdb           639.0.rmf3
>        273.938695341        29.9031190167        96.6486511214        81.9085622114            640.0.pdb           640.0.rmf3
>        273.947542068        43.6187178849        83.1869918489        78.6756969173            643.0.pdb           643.0.rmf3
>        273.953462065        45.6056170787        91.8136345853        71.7786190247            644.0.pdb           644.0.rmf3
>        273.960400898        35.6159179774        93.7482701339        80.6979778237            646.0.pdb           646.0.rmf3
>        273.977089611        28.9799619592          98.61434287        78.0783353304            649.0.pdb           649.0.rmf3
>        273.981563786        37.9250270019        84.6003491325        84.5548664176            651.0.pdb           651.0.rmf3
>        273.989303096        35.4837671525        93.4883440602           75.5284624            652.0.pdb           652.0.rmf3
>         274.01628679        43.5476162676        84.3621445758        74.4395944622            653.0.pdb           653.0.rmf3
>        274.046612583        35.0838385306        88.5745576025         85.434993127            657.0.pdb           657.0.rmf3
>        274.068978608        53.9268057425        80.1796939433        74.4785544559            661.0.pdb           661.0.rmf3
>        274.085622715         35.383765586        90.5901478396        79.4020072503            663.0.pdb           663.0.rmf3
>        274.097232227        40.4771977987        87.0736395828        79.2139097824            665.0.pdb           665.0.rmf3
>        274.138928479         47.411141817         85.659857703        76.7548871243            667.0.pdb           667.0.rmf3
>        274.190001894        43.4025133877        89.3731805077        76.6930607296            668.0.pdb           668.0.rmf3
>        274.190507827        44.4564563588        82.5300861863        78.6606194975            669.0.pdb           669.0.rmf3
>        274.192274771        29.8242771345        91.7666036733        82.8721221959            670.0.pdb           670.0.rmf3
>        274.212654161        29.0981356798        99.7035194301        78.1697590763            672.0.pdb           672.0.rmf3
>        274.234034539        32.2924556144        95.0740088838        78.6580289531            675.0.pdb           675.0.rmf3
>        274.346273965         41.454022576        92.8304029266        72.0642428893              1.1.pdb             1.1.rmf3
>        274.366504479        46.9471605139        87.5736604668        70.8952413162              3.1.pdb             3.1.rmf3
>        274.373318607        43.5963278709        87.4866396161        78.0648430935              4.1.pdb             4.1.rmf3
>        274.374177786        38.0154486581        95.6616816572        76.3865564155              5.1.pdb             5.1.rmf3
>        274.419098451        33.5068940771        87.1048581049        86.2038206811              8.1.pdb             8.1.rmf3
>        274.419482854        41.1784447233        91.0284741897        77.3159344153              9.1.pdb             9.1.rmf3
>        274.433612933        30.4273996865        91.3169075948        84.4713610647             11.1.pdb            11.1.rmf3
>         274.45071278        36.7107102832        94.3155425804        76.7871944679             14.1.pdb            14.1.rmf3
>        274.454987678        38.2233300767        94.9505257493        76.2230643383             15.1.pdb            15.1.rmf3
>        274.457229436        41.7310953471        91.4250164783        70.9167042345             16.1.pdb            16.1.rmf3
>        274.486240361        40.1028788861        85.5487059807        82.0998720553             19.1.pdb            19.1.rmf3
>        274.547559971        42.0689754168           91.8061355        74.9513696569             30.1.pdb            30.1.rmf3
>        274.601702673        53.2498533664         74.432451261        79.8039770502             32.1.pdb            32.1.rmf3
>        274.660886735        47.3850956309        79.5631124223        82.9930067614             36.1.pdb            36.1.rmf3
>         274.68181263        37.2686373878        103.776692309        67.4900195095             38.1.pdb            38.1.rmf3
>        274.698201378        40.7013872819        86.8815239052        79.5376160941             39.1.pdb            39.1.rmf3
>        274.716108914        41.6716525814        88.6791107043        78.7116273655             41.1.pdb            41.1.rmf3
>        274.723104809        35.3424763127        89.3433392541        82.9740115965             43.1.pdb            43.1.rmf3
>        274.767363358        33.6207113593        99.8802371874        79.7865176585             46.1.pdb            46.1.rmf3
>        274.774377903        41.5182017136        85.7516187474        82.7860925507             47.1.pdb            47.1.rmf3
>        274.845655912        36.8571177189        87.3597847208        81.7038038688             57.1.pdb            57.1.rmf3
>        274.920605734        44.0802613959        80.0405346951        83.2065688913             62.1.pdb            62.1.rmf3
>        274.934296653        42.9358711555        82.3787776203        78.2172094644             64.1.pdb            64.1.rmf3
>        274.948756085        42.0383857817        87.6719844254        80.3528176843             69.1.pdb            69.1.rmf3
>        274.958892783        35.1316090371        94.1246245041        73.4376020182             72.1.pdb            72.1.rmf3
>        274.990175296        29.3436070228        98.8209855033        77.4179117952             75.1.pdb            75.1.rmf3
>        275.011066039        45.8732115393        86.9784090532        67.3355888495             77.1.pdb            77.1.rmf3
>        275.025523314        26.4663078507        89.9554669535        88.4144788205             79.1.pdb            79.1.rmf3
>        275.030932991        35.5731105728        90.0420599993        83.2787038992             80.1.pdb            80.1.rmf3
>        275.044372321        37.7356156165        97.0480632011         70.521521331             84.1.pdb            84.1.rmf3
>        275.057272078        42.6200899966        94.1411603868         78.090176402             86.1.pdb            86.1.rmf3
>         275.06327551        41.5801142368        79.1989690321        82.5187463437             87.1.pdb            87.1.rmf3
>        275.067537379         36.140640389        86.7498652277        81.4445181425             89.1.pdb            89.1.rmf3
>        275.077054845        42.4817493793        81.3135237417        77.4270252836             90.1.pdb            90.1.rmf3
>        275.078875331        37.9188851269        90.0663064682        77.4048614715             91.1.pdb            91.1.rmf3
>        275.122874223        39.7155325705        86.0595657512        80.3071748721             95.1.pdb            95.1.rmf3
>        275.144000954        41.2468020358        78.6902816176        86.3251851149             96.1.pdb            96.1.rmf3
>        275.164356387        32.6966813958        101.712973719        68.6694003365            101.1.pdb           101.1.rmf3
>        275.211263555        37.9831874997        89.3507820904        82.9408976587            108.1.pdb           108.1.rmf3
>        275.218549881        39.6207675628        80.4607696513          86.96066413            109.1.pdb           109.1.rmf3
>        275.245861368        33.4621360566        94.0197918143        75.7284834037            113.1.pdb           113.1.rmf3
>        275.262380215        29.1465588969        94.6682904571         83.165906376            115.1.pdb           115.1.rmf3
>        275.268949497        39.0216902292        101.164589433        66.8738465291            117.1.pdb           117.1.rmf3
>        275.306169248         37.797414886        94.9366429081        74.2376119991            122.1.pdb           122.1.rmf3
>        275.318104102        50.4342549006        84.4069397808        78.6833397192            126.1.pdb           126.1.rmf3
>        275.369354217        40.6224215494        97.5116357527        72.3167636036            131.1.pdb           131.1.rmf3
>        275.374974573        33.6327364422        89.6355566871        84.9137209854            133.1.pdb           133.1.rmf3
>        275.465500517        41.1230236461        94.9477026008        69.6683986925            139.1.pdb           139.1.rmf3
>        275.524701004        47.7313916372        87.8287503146         74.727396941            146.1.pdb           146.1.rmf3
>        275.552165917        44.2259203005        91.4006221629         74.465186335            148.1.pdb           148.1.rmf3
>         275.62140662         37.214911775        99.5202521757        70.0461180386            155.1.pdb           155.1.rmf3
>        275.679835572        40.0119552641        89.0944957414        78.3367110156            162.1.pdb           162.1.rmf3
>        275.700797278        44.0168841216        85.5614067633        78.2433969185            167.1.pdb           167.1.rmf3
>        275.725760783        28.5266543571        86.1842090731         88.116296522            168.1.pdb           168.1.rmf3
>        275.751096418        42.1752947251        83.3715893337        77.9961011027            171.1.pdb           171.1.rmf3
>        275.772728281        38.8393768997        84.3283552208        76.8985069527            174.1.pdb           174.1.rmf3
>        275.797011437        33.8105895355        94.5636351008        83.4882792293            176.1.pdb           176.1.rmf3
>        275.806696348        36.3031602778        96.7136582749        75.8710216328            177.1.pdb           177.1.rmf3
>        275.829984844        27.9365885585        94.9244278885        82.4379637712            180.1.pdb           180.1.rmf3
>        275.853326182        31.3035051594        85.9881145883        86.3599057956            182.1.pdb           182.1.rmf3
>        275.867951375         33.472753999        95.0385314994        82.5171478086            185.1.pdb           185.1.rmf3
>        275.907137343        32.6867951562        97.9035702588        77.1243113749            193.1.pdb           193.1.rmf3
>        275.986604701        38.8932487491        87.3144963112        78.0928542997            199.1.pdb           199.1.rmf3
>        276.040845415        43.3952691413        79.8455875736        78.8999410975            202.1.pdb           202.1.rmf3
>        276.067741562         30.670394195        92.6945273154         83.815067247            205.1.pdb           205.1.rmf3
>        276.076355179        32.9616546268        103.928724236        74.4788057009            206.1.pdb           206.1.rmf3
>        276.086193619        45.8346848053        81.5264770455         79.270248436            207.1.pdb           207.1.rmf3
>        276.122963961        41.7934218503        85.6669606561        82.2270616071            209.1.pdb           209.1.rmf3
>        276.129000265        39.8133471824        90.1961834771        79.2668406565            210.1.pdb           210.1.rmf3
>        276.215875705        34.4501651853        93.9240608223        77.9801028235            224.1.pdb           224.1.rmf3
>        276.223976834        40.7268141922        92.4865706377        76.1398218705            226.1.pdb           226.1.rmf3
>        276.225378731        39.7778634627        87.5782824798        80.7468964481            227.1.pdb           227.1.rmf3
>        276.239829024         35.809071518        89.5330622264        81.8076324873            230.1.pdb           230.1.rmf3
>        276.315278366         45.604514422        91.1722725629        77.6034233738            239.1.pdb           239.1.rmf3
>        276.322356924        44.6499309363        89.1657184572        71.7374650436            240.1.pdb           240.1.rmf3
>        276.349064312        46.9584883793        80.2862831814        85.9884367303            242.1.pdb           242.1.rmf3
>        276.382086825        40.3688402539        88.6576716064        78.0394950303            244.1.pdb           244.1.rmf3
>        276.431681724        52.5959669829        89.1877182679        72.1695820009            248.1.pdb           248.1.rmf3
>        276.451177816        44.9166277789        92.0993378774        73.0505813356            249.1.pdb           249.1.rmf3
>        276.503720736         52.823202686        79.1618613277         70.904082194            257.1.pdb           257.1.rmf3
>        276.598386498        38.7760092302        98.1811674636        69.4996961429            268.1.pdb           268.1.rmf3
>        276.599961865        40.7123668639        91.1087141345        82.3074421332            269.1.pdb           269.1.rmf3
>        276.621070036        30.6750471475        97.5476931857        78.7971759732            271.1.pdb           271.1.rmf3
>        276.664384592        38.1456360059        98.9333277557        70.4694979669            276.1.pdb           276.1.rmf3
>        276.738312123         45.189141591        85.3550035204        80.6748544934            287.1.pdb           287.1.rmf3
>        276.753128175        42.6361462491        78.5793825538        83.4376721373            290.1.pdb           290.1.rmf3
>        276.801171717        38.9550677018        92.8458268704        79.5053900699            295.1.pdb           295.1.rmf3
>        276.824013493        48.1436498714        92.7730399869         64.591457694            298.1.pdb           298.1.rmf3
>        276.825592516        31.1456055177        92.2580969197        82.8172044755            299.1.pdb           299.1.rmf3
>        276.832392333        37.4643234001         102.64469659        73.3771275154            301.1.pdb           301.1.rmf3
>        276.878205143        33.3561344789        95.5963695715        84.1402015013            307.1.pdb           307.1.rmf3
>        276.884787305        31.8549026236        101.004706227         80.152682025            309.1.pdb           309.1.rmf3
>        276.892243905        32.0536562729        98.6364348026        79.2608509059            311.1.pdb           311.1.rmf3
>        276.898144446        35.3769514099        95.1718205232        80.0993648117            312.1.pdb           312.1.rmf3
>        276.900856682        41.9632687314         89.643879416        79.3180407457            313.1.pdb           313.1.rmf3
>        276.941354135        30.0324048408        97.1945172707        78.4676045831            320.1.pdb           320.1.rmf3
>         276.97548662        32.1676523594        100.922043848        74.5322963888            325.1.pdb           325.1.rmf3
>        277.017327014        42.3858129935        85.4323514344        81.2101361645            330.1.pdb           330.1.rmf3
>        277.019380215        32.2366073085        92.4965589796         78.235700761            331.1.pdb           331.1.rmf3
>        277.026679759        35.7199243511         88.410036211        82.4645356287            333.1.pdb           333.1.rmf3
>        277.044155272        39.8305105572        96.9386401371         70.873401169            336.1.pdb           336.1.rmf3
>        277.085143512        43.2557752823        90.1173361744         75.223611639            346.1.pdb           346.1.rmf3
>        277.191422373        41.7394064722        90.2070066067        73.9009439136            354.1.pdb           354.1.rmf3
>        277.206444138        38.6820814313        87.0341649566        84.0360330575            357.1.pdb           357.1.rmf3
>        277.265144055        41.2706950726        90.3411906293        71.4383973924            361.1.pdb           361.1.rmf3
>        277.284359897        42.2248469151        89.2863512714        75.9895042575            365.1.pdb           365.1.rmf3
>        277.324684883        44.4726547233        92.1093037689          74.27136783            374.1.pdb           374.1.rmf3
>        277.328275269        45.6730649167        92.1931369385        76.2610735515            375.1.pdb           375.1.rmf3
>        277.341145527        36.5198645943        96.8491725851        79.7241380029            378.1.pdb           378.1.rmf3
>        277.343871832        43.7562628615        94.8928046638        71.7109682513            380.1.pdb           380.1.rmf3
>        277.350841831        47.2031914223        83.2793126137        76.9966355179            381.1.pdb           381.1.rmf3
>        277.385767121        43.3328958476         84.324020562         78.215549906            388.1.pdb           388.1.rmf3
>        277.407354513        38.6732505349        88.0983933948        87.8373827134            389.1.pdb           389.1.rmf3
>        277.418239951        48.0071297679        88.2505046744        75.9544201326            392.1.pdb           392.1.rmf3
>        277.465954894        34.6684789799        92.7619127452        73.3082278523            398.1.pdb           398.1.rmf3
>        277.474782909        34.0503252637        101.299731701        76.5201737817            399.1.pdb           399.1.rmf3
