#|num|weight|mean|covariance matrix|
|0|8720.55016505|-18.9661600047 70.8548856475 23.6498498937|123.836561024 15.1680714049 -4.719513949 15.1680714049 49.1740890221 4.54331248121 -4.719513949 4.54331248121 27.5285808191|
|1|3344.9377312|21.5416137602 88.3719384559 12.5769728218|9.14455239174 -3.19789920396 -8.00101281497 -3.19789920396 30.2776493665 8.0949901386 -8.00101281497 8.0949901386 66.7098428744|
|2|5674.95380792|-44.2440256282 64.9917444282 8.17977054816|48.819208678 14.7623261226 -12.3012246045 14.7623261226 54.4484784021 15.502183474 -12.3012246045 15.502183474 37.6849038138|
|3|6471.31542516|3.25008977796 84.5393692675 17.1938114423|79.6727565037 8.81151577607 12.3215622472 8.81151577607 35.582124175 5.54426171578 12.3215622472 5.54426171578 43.0052376982|
|4|6536.65872109|-31.3700126206 58.9424916096 11.2483368699|69.7521280659 27.8555376509 -10.4388381387 27.8555376509 93.043248315 29.8411554925 -10.4388381387 29.8411554925 31.9648853391|
|5|5463.60597958|-23.7645032437 86.0831440793 15.8501041012|147.84069864 65.2591500366 26.150155499 65.2591500366 60.8276843077 23.9363858366 26.150155499 23.9363858366 25.9562585622|
|6|3918.03775057|21.3248909883 62.4393464524 16.2217632683|32.4132378493 -53.678715317 18.667114314 -53.678715317 133.204558479 -40.9270404002 18.667114314 -40.9270404002 30.7979566903|
|7|4251.48431943|0.132821467136 69.9067482865 8.5762550607|43.3853319295 4.48570835232 0.207321461524 4.48570835232 31.9472563685 -1.86210380996 0.207321461524 -1.86210380996 34.30599095|
